OBS_TIME_LOC,HT,LONG,LAT,time
2005-12-04 01:00:00,1.582857142857143,153.4772,-28.50470000000001,2005-12-04 01:00:00
2005-12-04 02:00:00,1.5433333333333332,153.4772,-28.504700000000003,2005-12-04 02:00:00
2005-12-04 03:00:00,1.5114285714285711,153.4772,-28.504700000000003,2005-12-04 03:00:00
2005-12-04 04:00:00,1.4799999999999998,153.4772,-28.5047,2005-12-04 04:00:00
2005-12-04 05:00:00,1.45,153.4772,-28.5047,2005-12-04 05:00:00
2005-12-04 06:00:00,1.43,153.4772,-28.5047,2005-12-04 06:00:00
2005-12-04 07:00:00,1.43,153.4772,-28.5047,2005-12-04 07:00:00
2005-12-04 08:00:00,1.4166666666666667,153.4772,-28.50470000000001,2005-12-04 08:00:00
2005-12-04 09:00:00,1.4166666666666667,153.47719999999995,-28.504700000000003,2005-12-04 09:00:00
2005-12-04 10:00:00,1.4166666666666667,153.47719999999995,-28.50470000000001,2005-12-04 10:00:00
2005-12-04 11:00:00,1.4885000000000004,153.47719999999995,-28.50470000000001,2005-12-04 11:00:00
2005-12-04 12:00:00,1.5750000000000002,153.47719999999995,-28.50470000000001,2005-12-04 12:00:00
2005-12-04 13:00:00,1.6550000000000002,153.4772,-28.50470000000001,2005-12-04 13:00:00
2005-12-04 14:00:00,1.7425000000000002,153.4772,-28.50470000000001,2005-12-04 14:00:00
2005-12-04 15:00:00,1.8,153.4772,-28.50470000000001,2005-12-04 15:00:00
2005-12-04 16:00:00,1.8,153.4772,-28.50470000000001,2005-12-04 16:00:00
2005-12-04 17:00:00,1.8,153.4772,-28.5047,2005-12-04 17:00:00
2005-12-04 18:00:00,1.8,153.4772,-28.50470000000001,2005-12-04 18:00:00
2005-12-04 19:00:00,1.8,153.4772,-28.50470000000001,2005-12-04 19:00:00
2005-12-04 20:00:00,1.8,153.4772,-28.50470000000001,2005-12-04 20:00:00
2005-12-04 21:00:00,1.83,153.4772,-28.50470000000001,2005-12-04 21:00:00
2005-12-04 22:00:00,1.7599999999999998,153.4772,-28.50470000000001,2005-12-04 22:00:00
2005-12-04 23:00:00,1.6830769230769231,153.4772,-28.504700000000003,2005-12-04 23:00:00
2005-12-05 00:00:00,1.63,153.4772,-28.50470000000001,2005-12-05 00:00:00
2005-12-05 01:00:00,1.59,153.4772,-28.504700000000003,2005-12-05 01:00:00
2005-12-05 02:00:00,1.557142857142857,153.4772,-28.5047,2005-12-05 02:00:00
2005-12-05 03:00:00,1.528333333333333,153.4772,-28.504700000000003,2005-12-05 03:00:00
2005-12-05 04:00:00,1.51,153.4772,-28.5047,2005-12-05 04:00:00
2005-12-05 05:00:00,1.4900000000000002,153.4772,-28.5047,2005-12-05 05:00:00
2005-12-05 06:00:00,1.47,153.4772,-28.5047,2005-12-05 06:00:00
2005-12-05 07:00:00,1.46,153.4772,-28.5047,2005-12-05 07:00:00
2005-12-05 08:00:00,1.4449999999999998,153.4772,-28.50470000000001,2005-12-05 08:00:00
2005-12-05 09:00:00,1.4449999999999998,153.4771999999999,-28.5047,2005-12-05 09:00:00
2005-12-05 10:00:00,1.4449999999999998,153.47719999999995,-28.5047,2005-12-05 10:00:00
2005-12-05 11:00:00,1.5304545454545453,153.4771999999999,-28.5047,2005-12-05 11:00:00
2005-12-05 12:00:00,1.6376190476190478,153.47719999999995,-28.5047,2005-12-05 12:00:00
2005-12-05 13:00:00,1.7491304347826089,153.4772,-28.50470000000001,2005-12-05 13:00:00
2005-12-05 14:00:00,1.8680952380952378,153.4772,-28.50470000000001,2005-12-05 14:00:00
2005-12-05 15:00:00,1.95,153.4772,-28.50470000000001,2005-12-05 15:00:00
2005-12-05 16:00:00,2.0028571428571427,153.4772,-28.5047,2005-12-05 16:00:00
2005-12-05 17:00:00,2.045555555555556,153.4772,-28.504700000000003,2005-12-05 17:00:00
2005-12-05 18:00:00,2.0485714285714285,153.4772,-28.50470000000001,2005-12-05 18:00:00
2005-12-05 19:00:00,2.0485714285714285,153.4772,-28.50470000000001,2005-12-05 19:00:00
2005-12-05 20:00:00,2.0485714285714285,153.4772,-28.504700000000003,2005-12-05 20:00:00
2005-12-05 21:00:00,1.9985714285714284,153.4772,-28.5047,2005-12-05 21:00:00
2005-12-05 22:00:00,1.922,153.4772,-28.5047,2005-12-05 22:00:00
2005-12-05 23:00:00,1.865,153.4772,-28.504700000000003,2005-12-05 23:00:00
2005-12-06 00:00:00,1.7925,153.4772,-28.5047,2005-12-06 00:00:00
2005-12-06 01:00:00,1.732,153.4772,-28.5047,2005-12-06 01:00:00
2005-12-06 02:00:00,1.7,153.4772,-28.5047,2005-12-06 02:00:00
2005-12-06 03:00:00,1.67,153.4772,-28.5047,2005-12-06 03:00:00
