,Unnamed: 0,Unnamed: 0.1,Date,HT,LONG,LAT,locName
179,179,179,2005-11-26 19:00:00,1.69,153.4772,-28.5047,The Pocket (Marshalls Creek)
180,180,180,2005-11-26 19:00:00,1.68,153.4772,-28.5047,The Pocket (Marshalls Creek)
181,181,181,2005-11-26 19:00:00,1.68,153.4772,-28.5047,The Pocket (Marshalls Creek)
182,182,182,2005-11-26 19:00:00,1.68,153.4772,-28.5047,The Pocket (Marshalls Creek)
183,183,183,2005-11-26 19:00:00,1.68,153.4772,-28.5047,The Pocket (Marshalls Creek)
184,184,184,2005-11-26 19:00:00,1.68,153.4772,-28.5047,The Pocket (Marshalls Creek)
185,185,185,2005-11-26 19:00:00,1.68,153.4772,-28.5047,The Pocket (Marshalls Creek)
186,186,186,2005-11-26 19:00:00,1.67,153.4772,-28.5047,The Pocket (Marshalls Creek)
187,187,187,2005-11-26 19:00:00,1.67,153.4772,-28.5047,The Pocket (Marshalls Creek)
188,188,188,2005-11-26 19:00:00,1.67,153.4772,-28.5047,The Pocket (Marshalls Creek)
189,189,189,2005-11-26 19:00:00,1.67,153.4772,-28.5047,The Pocket (Marshalls Creek)
190,190,190,2005-11-26 19:00:00,1.67,153.4772,-28.5047,The Pocket (Marshalls Creek)
191,191,191,2005-11-26 20:00:00,1.66,153.4772,-28.5047,The Pocket (Marshalls Creek)
192,192,192,2005-11-26 20:00:00,1.66,153.4772,-28.5047,The Pocket (Marshalls Creek)
193,193,193,2005-11-26 20:00:00,1.65,153.4772,-28.5047,The Pocket (Marshalls Creek)
194,194,194,2005-11-26 20:00:00,1.65,153.4772,-28.5047,The Pocket (Marshalls Creek)
195,195,195,2005-11-26 20:00:00,1.64,153.4772,-28.5047,The Pocket (Marshalls Creek)
196,196,196,2005-11-26 20:00:00,1.64,153.4772,-28.5047,The Pocket (Marshalls Creek)
197,197,197,2005-11-26 20:00:00,1.64,153.4772,-28.5047,The Pocket (Marshalls Creek)
198,198,198,2005-11-26 20:00:00,1.64,153.4772,-28.5047,The Pocket (Marshalls Creek)
199,199,199,2005-11-26 20:00:00,1.64,153.4772,-28.5047,The Pocket (Marshalls Creek)
200,200,200,2005-11-26 20:00:00,1.64,153.4772,-28.5047,The Pocket (Marshalls Creek)
201,201,201,2005-11-26 20:00:00,1.64,153.4772,-28.5047,The Pocket (Marshalls Creek)
202,202,202,2005-11-26 20:00:00,1.64,153.4772,-28.5047,The Pocket (Marshalls Creek)
203,203,203,2005-11-26 20:00:00,1.64,153.4772,-28.5047,The Pocket (Marshalls Creek)
204,204,204,2005-11-26 20:00:00,1.64,153.4772,-28.5047,The Pocket (Marshalls Creek)
205,205,205,2005-11-26 20:00:00,1.63,153.4772,-28.5047,The Pocket (Marshalls Creek)
